16:30 31/5/2023,"1,48"
16:29 31/5/2023,"22,44"
16:28 31/5/2023,"1,19"
16:28 31/5/2023,"3,24"
16:27 31/5/2023,"4,13"
16:27 31/5/2023,"1,18"
16:26 31/5/2023,"88,55"
16:25 31/5/2023,"2,56"
16:25 31/5/2023,"2,30"
16:24 31/5/2023,"2,27"
16:23 31/5/2023,"19,98"
16:23 31/5/2023,"1,16"
16:22 31/5/2023,"4,85"
16:22 31/5/2023,"1,04"
16:22 31/5/2023,"6,13"
16:21 31/5/2023,"13,20"
16:20 31/5/2023,"1,01"
16:20 31/5/2023,"1,51"
16:20 31/5/2023,"1,11"
16:20 31/5/2023,"1,31"
16:19 31/5/2023,"1,57"
16:19 31/5/2023,"4,20"
16:18 31/5/2023,"33,47"
16:17 31/5/2023,"1,72"
16:15 31/5/2023,"296,47"
16:15 31/5/2023,"3,68"
16:14 31/5/2023,"6,23"
16:14 31/5/2023,"1,90"
16:14 31/5/2023,"1,08"
16:13 31/5/2023,"3,63"
16:13 31/5/2023,"1,25"
16:13 31/5/2023,"1,33"
16:13 31/5/2023,"1,33"
16:12 31/5/2023,"1,44"
16:12 31/5/2023,"1,14"
16:12 31/5/2023,"2,36"
16:11 31/5/2023,"2,80"
16:11 31/5/2023,"3,58"
16:09 31/5/2023,"27,00"
16:09 31/5/2023,"1,39"
16:08 31/5/2023,"17,14"
16:08 31/5/2023,"2,12"
16:07 31/5/2023,"2,23"
16:07 31/5/2023,"1,60"
16:07 31/5/2023,"1,06"
16:06 31/5/2023,"1,40"
16:06 31/5/2023,"2,24"
16:06 31/5/2023,"3,23"
16:05 31/5/2023,"9,32"
16:03 31/5/2023,"52,47"
16:03 31/5/2023,"4,17"
16:03 31/5/2023,"1,16"
16:02 31/5/2023,"1,05"
16:02 31/5/2023,"2,16"
16:01 31/5/2023,"7,26"
16:01 31/5/2023,"1,00"
16:01 31/5/2023,"3,40"
16:00 31/5/2023,"2,04"
16:00 31/5/2023,"3,54"
15:58 31/5/2023,"38,54"
15:58 31/5/2023,"1,00"
15:58 31/5/2023,"3,05"
15:57 31/5/2023,"2,83"
15:57 31/5/2023,"3,98"
15:56 31/5/2023,"2,00"
15:56 31/5/2023,"1,36"
15:56 31/5/2023,"1,61"
15:55 31/5/2023,"1,33"
15:55 31/5/2023,"2,71"
15:54 31/5/2023,"2,40"
15:54 31/5/2023,"4,39"
15:53 31/5/2023,"15,81"
15:52 31/5/2023,"29,49"
15:52 31/5/2023,"1,02"
15:51 31/5/2023,"1,28"
15:50 31/5/2023,"12,86"
15:50 31/5/2023,"2,64"
15:49 31/5/2023,"4,98"
15:49 31/5/2023,"3,77"
15:48 31/5/2023,"8,86"
15:47 31/5/2023,"2,87"
15:47 31/5/2023,"1,52"
15:47 31/5/2023,"1,52"
15:46 31/5/2023,"20,29"
15:46 31/5/2023,"2,02"
15:45 31/5/2023,"6,99"
15:45 31/5/2023,"1,64"
15:43 31/5/2023,"45,61"
15:43 31/5/2023,"5,54"
15:42 31/5/2023,"2,70"
15:42 31/5/2023,"1,93"
15:42 31/5/2023,"1,18"
15:41 31/5/2023,"1,05"
15:41 31/5/2023,"2,84"
15:41 31/5/2023,"1,82"
15:40 31/5/2023,"18,58"
15:39 31/5/2023,"2,36"
15:39 31/5/2023,"1,20"
15:38 31/5/2023,"4,25"
15:38 31/5/2023,"2,55"
15:37 31/5/2023,"8,14"
15:36 31/5/2023,"7,70"
15:36 31/5/2023,"1,02"
15:36 31/5/2023,"1,65"
15:35 31/5/2023,"2,28"
15:35 31/5/2023,"2,02"
15:35 31/5/2023,"1,28"
15:34 31/5/2023,"1,05"
15:34 31/5/2023,"9,67"
15:33 31/5/2023,"2,49"
15:33 31/5/2023,"1,70"
15:33 31/5/2023,"1,00"
15:33 31/5/2023,"1,00"
15:32 31/5/2023,"1,02"
15:32 31/5/2023,"1,32"
15:31 31/5/2023,"10,21"
15:31 31/5/2023,"1,63"
15:31 31/5/2023,"1,07"
15:31 31/5/2023,"1,00"
15:30 31/5/2023,"1,44"
15:30 31/5/2023,"1,85"
15:29 31/5/2023,"4,10"
15:29 31/5/2023,"1,00"
15:29 31/5/2023,"2,64"
15:28 31/5/2023,"4,06"
15:28 31/5/2023,"1,44"
15:27 31/5/2023,"2,32"
15:26 31/5/2023,"29,01"
15:26 31/5/2023,"1,25"
15:26 31/5/2023,"1,01"
15:25 31/5/2023,"1,57"
15:25 31/5/2023,"1,90"
15:25 31/5/2023,"1,90"
15:25 31/5/2023,"1,69"
15:25 31/5/2023,"1,09"
15:24 31/5/2023,"1,28"
15:24 31/5/2023,"2,58"
15:23 31/5/2023,"1,41"
15:23 31/5/2023,"2,59"
15:23 31/5/2023,"1,92"
15:22 31/5/2023,"3,12"
15:22 31/5/2023,"2,01"
15:21 31/5/2023,"1,53"
15:21 31/5/2023,"9,53"
15:20 31/5/2023,"2,35"
15:20 31/5/2023,"1,75"
15:19 31/5/2023,"1,68"
15:19 31/5/2023,"1,00"
15:19 31/5/2023,"1,24"
15:19 31/5/2023,"1,10"
15:19 31/5/2023,"1,13"
15:18 31/5/2023,"1,28"
15:18 31/5/2023,"1,54"
15:18 31/5/2023,"1,20"
15:17 31/5/2023,"1,65"
15:17 31/5/2023,"1,12"
15:17 31/5/2023,"1,42"
15:17 31/5/2023,"1,03"
15:16 31/5/2023,"1,79"
15:16 31/5/2023,"2,04"
15:15 31/5/2023,"3,47"
15:14 31/5/2023,"12,79"
15:14 31/5/2023,"1,41"
15:14 31/5/2023,"2,65"
15:13 31/5/2023,"2,33"
15:13 31/5/2023,"1,93"
15:13 31/5/2023,"1,35"
15:12 31/5/2023,"13,84"
15:11 31/5/2023,"3,96"
15:11 31/5/2023,"2,24"
15:11 31/5/2023,"1,03"
15:10 31/5/2023,"1,68"
15:10 31/5/2023,"1,55"
15:10 31/5/2023,"1,07"
15:09 31/5/2023,"7,13"
15:08 31/5/2023,"4,31"
15:08 31/5/2023,"1,54"
15:08 31/5/2023,"1,37"
15:07 31/5/2023,"11,69"
15:07 31/5/2023,"1,24"
15:06 31/5/2023,"3,52"
15:06 31/5/2023,"1,20"
15:06 31/5/2023,"1,20"
15:05 31/5/2023,"8,31"
15:05 31/5/2023,"1,36"
15:04 31/5/2023,"2,78"
15:04 31/5/2023,"1,16"
15:03 31/5/2023,"5,63"
15:03 31/5/2023,"2,46"
15:03 31/5/2023,"1,57"
15:02 31/5/2023,"1,15"
15:02 31/5/2023,"3,52"
15:01 31/5/2023,"1,36"
15:01 31/5/2023,"4,02"
15:00 31/5/2023,"4,89"
15:00 31/5/2023,"1,00"
15:00 31/5/2023,"1,38"
15:00 31/5/2023,"1,14"
14:59 31/5/2023,"3,04"
14:59 31/5/2023,"2,17"
14:58 31/5/2023,"1,05"
14:58 31/5/2023,"4,95"
14:58 31/5/2023,"1,40"
14:57 31/5/2023,"1,55"
14:57 31/5/2023,"1,15"
14:56 31/5/2023,"4,78"
14:55 31/5/2023,"31,39"
14:55 31/5/2023,"1,57"
14:54 31/5/2023,"6,96"
14:54 31/5/2023,"2,25"
14:53 31/5/2023,"1,84"
14:53 31/5/2023,"2,12"
14:53 31/5/2023,"2,12"
14:53 31/5/2023,"1,95"
14:52 31/5/2023,"2,43"
14:51 31/5/2023,"11,53"
14:51 31/5/2023,"1,19"
14:50 31/5/2023,"3,14"
14:50 31/5/2023,"1,41"
14:50 31/5/2023,"5,81"
14:49 31/5/2023,"1,05"
14:49 31/5/2023,"2,36"
14:48 31/5/2023,"23,35"
14:47 31/5/2023,"4,73"
14:46 31/5/2023,"5,66"
14:46 31/5/2023,"1,90"
14:46 31/5/2023,"2,00"
14:45 31/5/2023,"1,77"
14:45 31/5/2023,"2,01"
14:45 31/5/2023,"2,20"
14:44 31/5/2023,"3,00"
14:44 31/5/2023,"1,73"
14:43 31/5/2023,"2,23"
